,grid_res,error_adam,error_PSO,loss_adam,loss_pso,lu_f_adam,lu_f_pso,time_adam,time_pso,type
0,50,0.026755044264240954,0.014638449019887832,0.0004926200490444899,8.559093839721754e-05,8.656107866045204e-07,3.923203450995061e-08,233.4092767238617,12188.649454832077,Burgers
1,50,0.019162391230002095,0.007990365406405069,0.0002246783406008035,2.8221453248988837e-05,2.0246216081432067e-07,3.774525580979571e-09,299.56466364860535,11376.053540706635,Burgers
2,50,0.15236769739404457,0.14533534527130804,0.0016877059824764729,0.0003976885345764458,4.307653216528706e-05,8.488999014844012e-07,359.140873670578,11272.672253847122,Burgers
3,50,0.03429887425848642,0.016316543119122145,0.0007062613149173558,9.172708087135106e-05,1.205806938742171e-06,3.454395880453376e-08,313.21455097198486,11327.171834230423,Burgers
4,50,0.03559135062044764,0.016203584534874152,0.0007530385628342628,0.0001488119305577129,9.338485824628151e-07,7.784677080735491e-08,287.4367105960846,12544.625535488129,Burgers
5,60,0.05695456197190428,0.048788113509813505,0.0009523407206870615,0.00014514283975586295,1.9481053641356993e-06,1.4300734108019242e-07,276.6313760280609,14922.736966609955,Burgers
6,60,0.03365704167127067,0.025732049674617556,0.0003464377950876951,4.9014066462405026e-05,4.827218162972713e-07,1.2414536065818993e-08,380.8139650821686,12355.13696551323,Burgers
7,60,0.06196593779890389,0.033890226097937855,0.0017648825887590647,0.0003815552336163819,9.090673302125651e-06,6.804531835769012e-07,188.04380774497986,11964.229009389877,Burgers
8,60,0.05937883574497447,0.03375706790857142,0.0015544933266937733,0.00033278169576078653,6.057675818738062e-06,4.0484704300070007e-07,164.0401804447174,12468.155700445175,Burgers
9,60,0.046995795979624964,0.027116208718100172,0.000758515321649611,8.631347736809403e-05,1.068269853021775e-06,3.400609571713176e-08,345.6677756309509,12280.673333406448,Burgers
10,70,0.08208982986592382,0.07792143037244477,0.0006360391853377223,0.00011241688480367884,6.814693733758759e-07,5.4917780545338246e-08,447.16103315353394,15643.945709228516,Burgers
