,grid_res,error_adam,error_PSO,loss_adam,loss_pso,lu_f_adam,lu_f_pso,time_adam,time_pso,type
0,10,0.023702222601636957,0.02286851127692811,1.4399064639292192e-05,5.900901669519953e-07,1.3615631955232743e-09,6.421439335130286e-12,92.04840803146362,3883.400277376175,Burgers
1,10,0.017542945007241385,0.016923965818021473,7.662454663659446e-06,5.933272859692806e-07,7.650123312608059e-10,1.1343716764533607e-12,105.34925842285156,3433.3640027046204,Burgers
2,10,0.011247796812536227,0.009773750902588838,2.4484406822011806e-05,1.0404864951851778e-06,2.877265092848802e-09,1.9990143221293444e-11,100.60096526145935,3832.2328062057495,Burgers
3,10,0.022060885069561945,0.023607455914495503,1.0302645932824817e-05,9.252324275621504e-07,1.7435373145247013e-09,1.169301027531544e-11,89.66608095169067,3375.3406291007996,Burgers
4,10,0.010121169694434542,0.010286134223143879,1.7184655007440597e-05,9.555907354297233e-07,1.3322770664458972e-09,8.885216347398472e-12,57.548208236694336,3394.733038663864,Burgers
5,20,0.011394898135824413,0.007702631311330537,6.328113522613421e-05,6.058508006390184e-06,1.018431383670304e-08,2.2054813531013906e-10,117.22973871231079,4625.140417337418,Burgers
6,20,0.012718187727913784,0.007751445104898636,0.00016779154248069972,9.638536539569031e-06,1.6880001396657462e-07,9.516754051475118e-10,150.65115332603455,4781.952751874924,Burgers
7,20,0.02987384393632448,0.022436533285676342,7.210253534140065e-05,1.3256054444354959e-05,2.723942671423174e-08,6.506666871963773e-10,124.60059881210327,4500.920122861862,Burgers
8,20,0.015425115358706758,0.009331000659684573,0.00015668587002437562,2.7634398065856658e-05,1.3046557967300032e-07,2.279043176400819e-09,100.86593914031982,4502.792410850525,Burgers
9,20,0.012189280046549532,0.009769706697814207,3.973029015469365e-05,4.9479599510959815e-06,4.331126124412776e-09,1.120667933451891e-10,163.71554732322693,4512.4457268714905,Burgers
10,30,0.00974336991182583,0.004840680098306515,6.715400377288461e-05,9.660203431849368e-06,1.0816277651315431e-08,5.379767742397235e-10,223.30500411987305,5897.92644906044,Burgers
11,30,0.19834221091954912,0.19726477129097625,0.0011425053235143423,0.0007281370344571769,5.845782879987382e-07,3.700852744259464e-07,133.54909873008728,6042.75216126442,Burgers
12,30,0.02598104117664325,0.009601998182877927,0.0004962104139849544,6.225157994776964e-05,5.843330086463538e-07,2.494510198403077e-08,120.41621708869934,5988.11909532547,Burgers
13,30,0.016537444064115826,0.010688944138408565,0.00016940140631049871,2.3468459403375164e-05,8.788975236484475e-08,2.513244057311681e-09,129.20581674575806,6037.9152138233185,Burgers
14,30,0.01612783768604563,0.01450513955544644,0.00018675962928682566,3.144327274640091e-05,1.3066119208815508e-07,1.5074972381512453e-09,181.76589369773865,6072.522922039032,Burgers
15,40,0.014965136958227838,0.009265015297637203,9.527047222945839e-05,1.2209626220283099e-05,3.7126394403230734e-08,1.8236240295621542e-09,222.9928629398346,6695.9302797317505,Burgers
16,40,0.03441362183235543,0.01651514929696386,0.0007162861293181777,0.00010838684102054685,9.895090897771297e-07,4.294386002356987e-08,164.3421926498413,6671.669940710068,Burgers
17,40,0.03131470799747422,0.014145757984763334,0.0006257658242247999,0.0001239182602148503,9.027901342051337e-07,3.0086379609883807e-08,149.6756730079651,6763.245793581009,Burgers
18,40,0.037522798306835074,0.022195109269538216,0.0006370654446072876,9.150113328360021e-05,7.799334298397298e-07,2.0247293619490847e-08,168.788747549057,6851.8605835437775,Burgers
