,grid_res,time,RMSE,loss,type
0,100,1264.5641777515411,4.077860628652966,2.1315481169359103,PI
1,100,1257.3280003070831,4.00849902845638,1.633764173453784,PI
2,100,1256.0880002975464,3.9764423838696303,1.6004628647498294,PI
3,100,1262.8412747383118,4.068483985158172,2.0304915701733037,PI
4,100,1255.648999452591,4.016799215520586,1.7674711172713842,PI
5,100,1255.8989996910095,3.9569928565769987,1.6826996976625423,PI
6,100,1254.1620008945465,4.020696229649752,2.1512093304010023,PI
7,100,1253.143000125885,3.942999943914085,1.6837568244268653,PI
8,100,1254.938000679016,3.957235053383523,1.5105284090718172,PI
9,100,1255.3610010147095,3.940871797095006,1.4471334652517953,PI
10,200,1524.0840003490448,3.6158723587287116,2.0486767948143054,PI
11,200,1528.3819997310638,3.5729006473030527,1.6136224140271054,PI
12,200,1523.880001783371,3.5643359666696046,1.786590092227705,PI
13,200,1531.9460003376007,3.692099399552265,1.9202453195454225,PI
14,200,1527.0040001869202,3.542678776179926,1.5930333935542151,PI
15,200,1522.7590000629425,3.6801915248199917,1.6556815857957474,PI
16,200,1523.0639998912811,3.5403580172213163,1.5649563772329032,PI
17,200,1525.1880009174347,3.5753575424094532,1.572571659409732,PI
18,200,1523.6800014972687,3.5634336132391717,1.885183222599153,PI
19,200,1526.742000579834,3.554946713064663,1.5603761496003656,PI
20,300,1741.9400010108948,3.403551649398946,1.4688953227535606,PI
21,300,1774.9840009212494,3.545290350499587,1.8019148980438402,PI
22,300,1739.5640013217926,3.46651129027127,1.5337289744141174,PI
23,300,1770.226000070572,3.5420392629138444,1.6926374115831848,PI
24,300,1738.3559999465942,3.4251228772767304,1.5313563074473748,PI
25,300,1736.7290000915527,3.4375391836064395,1.7020378849640068,PI
26,300,1740.6419999599457,3.4337833166886607,1.433341004045161,PI
27,300,1742.948001384735,3.3968357723877447,1.399467482600926,PI
28,300,1742.8730032444,3.4726924862519106,1.557786111304047,PI
29,300,1771.8360006809235,3.3666095961011284,1.345397917336932,PI
30,400,1924.3083395957947,3.4858268448658873,1.780350759111009,PI
31,400,1902.410410642624,3.354033738039702,1.4163594719964365,PI
32,400,1983.6982035636902,3.342643440334966,1.3843934219375527,PI
33,400,1892.420874595642,3.3961815901747485,1.525354436926392,PI
34,400,1943.664499282837,3.5058192410485476,1.8748261745892663,PI
35,400,1921.7420020103455,3.3522742472952203,1.4810457316077716,PI
36,400,2004.8079261779785,3.4676501971585885,1.7412466759896077,PI
37,400,2024.5612473487854,3.3412577226602553,1.7397768888535623,PI
38,400,2028.4345293045044,3.384722766635402,1.459005703414988,PI
39,400,1961.36447763443,3.466475889834615,1.6870043505282695,PI
40,500,2232.3653602600098,3.284165447174263,1.303139413379995,PI
41,500,2306.16276884079,3.3590705276580155,1.5444499702622423,PI
42,500,2272.0201382637024,3.350719862523687,1.4588793318876654,PI
43,500,2161.8215816020966,3.3124843614984645,1.353438924306495,PI
44,500,2105.800000667572,3.3325613594268035,1.4499402735346223,PI
45,500,2107.260999917984,3.2311313287437096,1.5407286960081592,PI
46,500,2107.639000892639,3.377559447164229,1.5828245492928161,PI
47,500,2105.8770020008087,3.3044374661133813,1.3336445155480376,PI
48,500,2112.9700026512146,3.316921818201143,1.3306433595153067,PI
49,500,2107.1700015068054,3.2554174389326356,1.2859086397029458,PI
