,grid_res,time,RMSE,type
0,10,6.410971403121948,"tensor(0.0692, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
1,10,5.097002029418945,"tensor(0.0728, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
2,10,5.097000360488892,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
3,10,5.115001440048218,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
4,10,5.115771055221558,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
5,10,5.130997896194458,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
6,10,5.155627012252808,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
7,10,5.184812068939209,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
8,10,5.277177333831787,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
9,10,5.199291467666626,"tensor(0.0734, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
10,20,6.7677037715911865,"tensor(0.0663, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
11,20,6.786941051483154,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
12,20,6.767000436782837,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
13,20,6.792999029159546,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
14,20,6.766012668609619,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
15,20,6.972000360488892,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
16,20,6.847224235534668,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
17,20,6.818689584732056,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
18,20,6.81925106048584,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
19,20,6.82905912399292,"tensor(0.0646, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
20,30,7.590944290161133,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
21,30,7.618632555007935,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
22,30,7.615998268127441,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
23,30,7.605994939804077,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
24,30,7.661581039428711,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
25,30,7.740656614303589,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
26,30,7.632965564727783,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
27,30,7.653649568557739,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
28,30,8.050969123840332,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
29,30,8.799964189529419,"tensor(0.0625, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
30,40,11.251646041870117,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
31,40,10.601000547409058,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
32,40,10.819827318191528,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
33,40,11.177756547927856,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
34,40,11.524109840393066,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
35,40,12.534789562225342,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
36,40,10.625136375427246,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
37,40,10.40443468093872,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
38,40,10.547306060791016,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
39,40,11.28999948501587,"tensor(0.0586, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
40,50,18.555786609649658,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
41,50,16.796545267105103,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
42,50,15.615167379379272,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
43,50,17.167627573013306,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
44,50,16.43444037437439,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
45,50,15.90054988861084,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
46,50,16.714000463485718,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
47,50,16.435001134872437,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
48,50,15.846060991287231,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
49,50,15.529000520706177,"tensor(0.0533, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
50,60,48.55840802192688,"tensor(0.0522, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
51,60,46.636842012405396,"tensor(0.0522, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
52,60,45.89452075958252,"tensor(0.0522, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
