,grid_res,l2_loss,l2_norm,type
0,2,[0.00024602],5.5844,Poisson
1,5,[1.113883e-09],2.362574,Poisson
2,8,[2.4975654e-07],0.080554634,Poisson
3,10,[1.541288e-05],0.036293957,Poisson
4,40,[1.957986e-08],0.00045423457,Poisson
5,70,[9.195274e-09],0.00014873368,Poisson
6,100,[2.7618288e-08],0.000997834,Poisson
7,400,[1.1763705e-08],0.0006408524,Poisson
8,700,[6.1375176e-09],0.0007672104,Poisson
9,1000,[4.8815942e-09],0.00037958266,Poisson
10,4000,[2.8750636e-08],0.00045969168,Poisson
11,7000,[6.036358e-09],0.0008084252,Poisson
12,10000,[8.900979e-09],0.00040109182,Poisson
