,grid_res,l2_loss,l2_PSO,l2_pinn,c2_norm,type
0,2,[8.661701e-11],0.8340868,0.9128641,0.18560609,Poisson_PSO
1,3,[2.5472069e-11],0.035464674,0.04067699,0.013625503,Poisson_PSO
2,4,[1.0035084e-10],0.0048054573,0.00578107,0.0034434497,Poisson_PSO
3,5,[3.4487496e-10],0.0017905253,0.0032628174,0.0017917752,Poisson_PSO
4,6,[1.4975844e-10],0.00069254934,0.0004489707,0.00050228834,Poisson_PSO
5,7,[4.180567e-11],0.00022243703,0.0009316823,0.00022280216,Poisson_PSO
6,8,[9.044813e-10],0.00055522606,0.0006090082,0.00011134148,Poisson_PSO
7,9,[7.978159e-10],0.00015183704,0.00021097911,0.00012809038,Poisson_PSO
8,10,[1.4526417e-09],0.00065323514,0.0007041669,0.00011527538,Poisson_PSO
9,20,[1.1634739e-09],0.00020866327,0.0005250695,8.481741e-05,Poisson_PSO
10,30,[3.9278478e-10],0.0007726856,0.00073548435,6.431341e-05,Poisson_PSO
11,40,[3.0565261e-09],0.0009786924,0.0011203438,0.00019866228,Poisson_PSO
12,50,[1.7834292e-09],0.00057037023,0.0011178962,0.00017344952,Poisson_PSO
13,60,[1.948763e-10],0.00048193155,0.00048183373,4.6014786e-05,Poisson_PSO
14,70,[9.0742763e-10],0.00022289637,0.00027611636,0.00012201071,Poisson_PSO
15,80,[1.250405e-10],0.000246404,0.00019357483,3.2305717e-05,Poisson_PSO
16,90,[2.222898e-09],0.0001526662,0.00020753474,0.00017642975,Poisson_PSO
17,100,[2.165704e-09],0.0003507399,0.0004423153,0.00019937754,Poisson_PSO
18,200,[1.0050863e-09],0.00028282194,0.00065812946,0.0001295209,Poisson_PSO
19,300,[1.0050863e-09],2.2900447e-05,0.00015065641,9.88245e-05,Poisson_PSO
20,600,[1.0050863e-09],1.975169e-05,0.0015480946,9.9509954e-05,Poisson_PSO
21,900,[1.0050863e-09],0.0002858349,0.00041763225,0.000110685825,Poisson_PSO
22,1000,[1.0050863e-09],3.8143295e-05,0.0004646158,0.00018799305,Poisson_PSO
23,4000,[1.0050863e-09],0.00032113123,0.0012072558,6.252527e-05,Poisson_PSO
24,7000,[1.0050863e-09],5.1692205e-05,0.001111435,6.598234e-05,Poisson_PSO
25,10000,[1.0050863e-09],1.8509832e-05,0.00078087137,4.082918e-05,Poisson_PSO
26,100000,[1.0050863e-09],2.6586735e-05,0.00087481446,9.2089176e-05,Poisson_PSO
