,grid_res,l2_loss,l2_norm,type
0,5,[5.610879104571566e-16],1.508340771424537,Poisson_natG
1,10,[3.545877667847266e-12],2.0286492578281883,Poisson_natG
2,50,[6.399284756924362e-09],3.177739484296659e-05,Poisson_natG
3,100,[3.0010309736733704e-09],2.384773914025467e-06,Poisson_natG
4,500,[7.885578418908293e-09],3.686187667193041e-07,Poisson_natG
5,1000,[5.111614599961742e-08],3.116636208084931e-07,Poisson_natG
6,2000,[6.006745466077842e-09],1.0710477659542274e-07,Poisson_natG
6,3000,[6.006745466077842e-09],9.910477659542274e-08,Poisson_natG
