,grid_res,l2_loss,lu_f,lu,l2_norm,c2_norm,type
0,2,[2.080429e-07],2.1576534336986697e-08,3.041833807060357e-08,0.0007715555,12.56732,Poisson
1,5,[5.885073e-06],7.054596153466264e-06,12468.193359375,1.3357885,13.328427,Poisson
2,8,[1.310175e-05],1.468204936827533e-05,12468.2890625,2.6575363,13.954244,Poisson
3,10,[0.00066696],0.0007309918873943388,12468.61328125,2.4036222,14.20933,Poisson
4,40,[0.0007858],0.0007268785848282278,12467.6162109375,0.006143656,0.20927927,Poisson
5,70,[4.747176e-05],4.808097946806811e-05,12468.40234375,0.00052715524,0.017717227,Poisson
6,100,[0.00278688],0.0027717635966837406,12471.146484375,0.0025221247,0.10211094,Poisson
7,400,[3.4961107e-05],3.4779492125380784e-05,12468.3095703125,0.0008513,0.035575442,Poisson
8,700,[4.1712574e-05],4.092862582183443e-05,12468.44921875,0.0008065266,0.02746205,Poisson
9,1000,[3.265797e-05],3.259795266785659e-05,12468.251953125,0.00061196607,0.013711005,Poisson
10,4000,[3.9548635e-05],3.914697663276456e-05,12468.3603515625,0.0031092598,0.046351854,Poisson
11,7000,[8.034997e-05],7.958553760545328e-05,12468.513671875,0.0037474793,0.10440368,Poisson
12,10000,[6.1513725e-05],6.120432954048738e-05,12468.314453125,0.0026150881,0.06598104,Poisson
