,grid_res,l2_loss,l2_norm,c2_norm,type
0,2,[3.109836e-06],0.01869016,0.004550278,Poisson
1,5,[3.200063e-08],0.0023203702,0.00055016205,Poisson
2,8,[3.4908314e-08],0.00026188773,0.00031667948,Poisson
3,10,[1.1871199e-08],0.0007806226,0.00019615889,Poisson
4,40,[8.1599575e-07],0.0025561097,0.0021878742,Poisson
5,70,[3.109836e-06],0.001869016,0.004550278,Poisson
6,100,[2.7547926e-06],0.0027532908,0.00020968914,Poisson
7,400,[2.7547926e-06],0.0032144178,0.0051572323,Poisson
8,700,[2.2582061e-07],0.003097823,0.00219962,Poisson
9,1000,[0.00276522],0.0020353086,0.014782891,Poisson
10,4000,[9.999787e-07],0.0027532908,0.00020968914,Poisson
11,7000,[7.249078e-07],0.0012269481,0.00031000376,Poisson
12,10000,[9.884784e-08],0.0009537309,0.00020426512,Poisson
