,grid_res,error_train_NGD,error_test_NGD,loss_NGD,lu_f_NGD,time_NGD,type
0,10,5.365627831415204e-07,5.481605518463032e-07,6.2283250090145084e-12,3.544223593260441e-23,104.42814183235168,Heat_1d
1,20,5.439963683721102e-07,4.784080381234191e-07,1.0348564771544383e-11,8.039629129066461e-23,279.266056060791,Heat_1d
2,30,5.81170824827513e-07,5.298625099673646e-07,1.2402974757392381e-11,1.181141036988084e-22,860.2547416687012,Heat_1d
3,40,2.2290228707178133e-07,2.0502351787872653e-07,6.487372604342325e-12,4.2242087954437235e-23,2269.987830877304,Heat_1d
4,50,1.7470641790010986e-07,1.680140616258487e-07,2.674201000243323e-12,7.915571254142009e-24,4352.274181127548,Heat_1d
5,60,5.211877105382028e-07,5.104089380754671e-07,1.9873169567195826e-11,4.0532445170224557e-22,8245.125361919403,Heat_1d
