,grid_res,error_adam_train,error_adam_test,error_PSO_train,error_PSO_test,loss_adam,loss_pso,lu_f_adam,lu_f_pso,time_adam,time_pso,type
0,20,0.039032842963933945,0.041165757924318314,0.03912116959691048,0.041256196796894073,0.0004756418347824365,0.00047336419811472297,1.6137999381271584e-08,1.3918032948367909e-08,3384.0994288921356,5572.800494670868,kdv_PSO_KAN
1,30,0.04504799842834473,0.045405685901641846,0.04504799842834473,0.045405685901641846,0.00032990012550726533,0.00032990012550726533,1.3587023950378807e-08,1.3587023950378807e-08,4433.0257749557495,1195.5871605873108,kdv_PSO_KAN
2,40,0.06031736359000206,0.060679398477077484,0.060445889830589294,0.06080913543701172,0.0002996096736751497,0.0002895574434660375,4.8614801073654235e-08,5.02744157415691e-08,2690.2655024528503,2410.2880017757416,kdv_PSO_KAN
3,50,0.03485460206866264,0.03494151681661606,0.034917619079351425,0.035004545003175735,0.0002556759864091873,0.0002523293951526284,3.095072287351286e-08,2.5066711373256112e-08,3370.834254026413,3069.6881432533264,kdv_PSO_KAN
4,60,0.026144055649638176,0.026181528344750404,0.026335325092077255,0.026371583342552185,0.00044569207238964736,0.00022618856746703386,3.481590127307754e-08,2.5127944169867078e-08,2702.603917360306,4563.296209096909,kdv_PSO_KAN
5,70,0.039442114531993866,0.039489712566137314,0.0395057313144207,0.03955337405204773,0.00020256685093045235,0.00019915787561330944,7.290692849437619e-08,6.247542216897273e-08,3708.517126083374,4989.838754892349,kdv_PSO_KAN
6,80,0.047815952450037,0.04785642400383949,0.04777436703443527,0.047814637422561646,0.00031696227961219847,0.0002751653955783695,7.073144274727383e-07,5.92703543134121e-07,2800.04034781456,3007.698238134384,kdv_PSO_KAN
