,grid_res,error_train,error_test,loss,lu_f_adam,time_adam,type
0,30,0.03273169323801994,0.06913456320762634,0.008516116999089718,0.008970874361693859,2584.7525742053986,kdv_lam_KAN
1,40,0.05991438031196594,0.1512279063463211,0.056190792471170425,0.001839157659560442,4724.685605764389,kdv_lam_KAN
2,50,0.03457073122262955,0.05881940573453903,0.0009172315476462245,6.605243640933622e-08,7187.654145002365,kdv_lam_KAN
3,60,0.04158412292599678,0.09711159765720367,0.0007180467946454883,1.4595825348351354e-07,8825.422842502594,kdv_lam_KAN
4,70,0.03823058679699898,0.08439493179321289,0.0002661037433426827,2.907380007854954e-07,15428.526313304901,kdv_lam_KAN
5,80,0.059335269033908844,0.16373008489608765,0.000212627841392532,6.840709829702973e-07,14750.068465709686,kdv_lam_KAN
6,90,0.052259981632232666,0.13409551978111267,0.00022038628230802715,2.5560009930813976e-07,19889.85094809532,kdv_lam_KAN
