,grid_res,time,RMSE,loss,type,cache
0,10,138.46396684646606,0.04729729023544243,0.001883887493549972,wave_eqn,True
1,10,33.579999685287476,0.048622831739415194,0.0017253360946641997,wave_eqn,True
2,10,37.43200063705444,0.047574300657271924,0.001409667613124729,wave_eqn,True
3,10,45.35150909423828,0.04929147160118996,0.0019788122682442228,wave_eqn,True
4,10,56.851568937301636,0.04688070693305853,0.0015386900161193828,wave_eqn,True
5,10,39.75552415847778,0.047306176193447916,0.0013383606020147538,wave_eqn,True
6,10,44.25201940536499,0.04894818005816904,0.001614126441020386,wave_eqn,True
7,10,56.66702198982239,0.04774275281817556,0.00124773612440287,wave_eqn,True
8,10,41.93007469177246,0.048150824915362614,0.0013972718449497934,wave_eqn,True
9,10,42.89800024032593,0.04698255918840137,0.0011738112623008328,wave_eqn,True
