,grid_res,time,RMSE,type,cache
0,100,174.31425786018372,0.14559972270681973,L3,True
1,100,106.77375054359436,0.05286490887772703,L3,True
2,100,91.02220416069031,0.029952348248331043,L3,True
3,100,172.58185815811157,0.025516606829316325,L3,True
4,100,153.10539317131042,0.12900367880255573,L3,True
5,100,119.93891882896423,0.10632724338702194,L3,True
6,100,97.02345395088196,0.09409006204535798,L3,True
7,100,106.38851380348206,0.08112054123880462,L3,True
8,100,84.44811820983887,0.07616210235821376,L3,True
9,100,108.28399968147278,0.08161238375841683,L3,True
10,100,81.68751001358032,0.05779331129445141,L4,True
11,100,56.869986057281494,0.024451956002545946,L4,True
12,100,51.33869814872742,0.022727755740807227,L4,True
13,100,340.5927937030792,0.06492355126265824,L4,True
14,100,162.2469835281372,0.028856824213307052,L4,True
15,100,92.56888246536255,0.054770399026962624,L4,True
16,100,369.30005383491516,0.06273163154795493,L4,True
17,100,114.08255434036255,0.09111444122202964,L4,True
18,100,95.28213787078857,0.06491754898826949,L4,True
19,100,90.86700940132141,0.06739525848846774,L4,True
20,100,75.15973401069641,0.025385688556027724,L5,True
21,100,121.74815344810486,0.0329033130607943,L5,True
22,100,221.91300749778748,0.0602786341688469,L5,True
23,100,140.46275687217712,0.06601219579288503,L5,True
24,100,90.84539294242859,0.038628189270391966,L5,True
25,100,69.86477637290955,0.012878888715442677,L5,True
26,100,60.96366357803345,0.016634025068306142,L5,True
27,100,111.89091849327087,0.05136796861145665,L5,True
28,100,76.72637510299683,0.024960168826021072,L5,True
29,100,152.30903720855713,0.039135448015522434,L5,True
30,100,81.5829849243164,0.028973934778477307,L6,True
31,100,59.21392822265625,0.011095728647521856,L6,True
32,100,73.49654531478882,0.013044939171441965,L6,True
33,100,51.64199137687683,0.008181575857473053,L6,True
34,100,109.55716037750244,0.01236773893792136,L6,True
35,100,124.23794555664062,0.007197628856038617,L6,True
36,100,48.68803310394287,0.0051558642336698235,L6,True
37,100,69.29416751861572,0.016153204163426183,L6,True
38,100,195.16675281524658,0.00803334974180865,L6,True
39,100,106.95066022872925,0.007900041639197004,L6,True
40,100,79.91651725769043,0.01831528270584439,L7,True
41,100,144.56591510772705,0.015872087984734554,L7,True
42,100,97.84928297996521,0.010687503441410947,L7,True
43,100,99.21999955177307,0.027632680477371004,L7,True
44,100,71.83099865913391,0.01471715102130021,L7,True
45,100,142.93999886512756,0.03438383001661527,L7,True
46,100,92.68199896812439,0.02902501823411198,L7,True
47,100,89.103999376297,0.02188327962052791,L7,True
48,100,223.99299955368042,0.016571678392711963,L7,True
49,100,84.0775580406189,0.007162722614572861,L7,True
50,100,118.96809267997742,0.006914998909198644,L8,True
