,grid_res,time,RMSE,loss,type,cache
0,10,4111.334041595459,1.1495924,0.37927645,wave_eqn,True
1,10,3452.2310009002686,1.1512167,0.36894313,wave_eqn,True
2,10,1799.2840020656586,1.1516904,0.36230853,wave_eqn,True
3,10,1038.2130024433136,1.1519375,0.36391646,wave_eqn,True
4,10,2055.110002756119,1.1522822,0.3578231,wave_eqn,True
5,10,1837.3660035133362,1.1528549,0.3564043,wave_eqn,True
6,10,1369.5940024852753,1.1528014,0.35570338,wave_eqn,True
7,10,1309.5340020656586,1.1527405,0.35516223,wave_eqn,True
8,10,2510.6750013828278,1.1535453,0.35293067,wave_eqn,True
9,10,1090.1690030097961,1.1530998,0.35543135,wave_eqn,True
10,20,1354.8330013751984,0.85950696,31.679783,wave_eqn,True
11,20,2366.946002483368,0.86456066,27.841486,wave_eqn,True
12,20,2285.524002313614,0.883209,22.743418,wave_eqn,True
13,20,996.9750006198883,0.8791508,23.460867,wave_eqn,True
14,20,1834.9880006313324,0.8823043,23.247274,wave_eqn,True
15,20,1424.359001159668,0.8878394,23.380617,wave_eqn,True
16,20,1174.2450022697449,0.8880105,23.190609,wave_eqn,True
17,20,758.8310012817383,0.8883575,23.017254,wave_eqn,True
18,20,1719.3640022277832,0.891116,22.415491,wave_eqn,True
19,20,1139.0430018901825,0.89421916,22.359158,wave_eqn,True
20,30,515.0230031013489,0.7232621,28.704824,wave_eqn,True
21,30,596.3570020198822,0.7233186,28.672249,wave_eqn,True
22,30,445.98600220680237,0.72340673,28.669092,wave_eqn,True
23,30,294.7670028209686,0.7235835,28.589134,wave_eqn,True
24,30,158.95900201797485,0.72360855,28.586487,wave_eqn,True
25,30,236.75200176239014,0.723886,28.466862,wave_eqn,True
26,30,482.6490020751953,0.72358274,28.508171,wave_eqn,True
27,30,518.764002084732,0.7232554,28.129244,wave_eqn,True
28,30,236.36700057983398,0.72353363,27.81284,wave_eqn,True
29,30,415.160001039505,0.7239935,27.315199,wave_eqn,True
30,40,200.49500179290771,0.7288304,26.93405,wave_eqn,True
31,40,648.2080008983612,0.728908,26.870134,wave_eqn,True
32,40,358.6490013599396,0.72895247,26.873692,wave_eqn,True
33,40,301.15900206565857,0.72889555,26.879904,wave_eqn,True
34,40,253.91600060462952,0.7292087,26.80595,wave_eqn,True
35,40,134.49400234222412,0.72892624,26.867939,wave_eqn,True
36,40,577.4490008354187,0.7288459,26.85694,wave_eqn,True
37,40,363.27200150489807,0.7288263,26.865124,wave_eqn,True
38,40,250.64700078964233,0.7288064,26.876045,wave_eqn,True
39,40,267.1860001087189,0.7286587,26.898228,wave_eqn,True
40,50,293.84600138664246,0.7336912,25.414047,wave_eqn,True
41,50,259.9540014266968,0.73364455,25.407156,wave_eqn,True
42,50,129.15700149536133,0.7342088,25.32784,wave_eqn,True
43,50,252.15300178527832,0.73365575,25.421963,wave_eqn,True
44,50,141.69300079345703,0.7334141,25.481098,wave_eqn,True
45,50,257.77600264549255,0.73331994,25.283386,wave_eqn,True
46,50,414.0820007324219,0.7404206,23.341795,wave_eqn,True
47,50,359.9110028743744,0.7397926,22.816294,wave_eqn,True
48,50,641.757001876831,0.7416501,21.854395,wave_eqn,True
49,50,298.4909996986389,0.7418528,21.683304,wave_eqn,True
