,grid_res,time,RMSE,loss,type,cache
0,10,61.98730707168579,0.0045144686475236005,0.0015687496093050868,PII,False
1,10,59.78136467933655,0.0013102021832875454,0.00029236680392630277,PII,False
2,10,62.312663555145264,0.0009139576064159385,0.0015351472305474845,PII,False
3,10,70.8533124923706,0.0008825164545103604,0.0005531227412487738,PII,False
4,10,59.96553945541382,0.0016229190649537414,0.0009483826822452857,PII,False
5,10,59.8658173084259,0.0023104449332498342,0.001821686254875221,PII,False
6,10,50.566980838775635,0.0006184490484241251,0.0016476097208421026,PII,False
7,10,64.57987451553345,0.001245166613965682,0.0012720474602617715,PII,False
8,10,53.65909290313721,0.0034446226587947206,0.0011066863617372746,PII,False
9,10,57.00141882896423,0.0022914425203855258,0.0004924308839251712,PII,False
10,20,79.82582354545593,0.0006478287099698003,0.000635759540571823,PII,False
11,20,99.3653564453125,0.0018762951111963083,0.0011406359478272066,PII,False
12,20,98.98654079437256,0.0004296856267324488,0.00040319902877117286,PII,False
13,20,86.16786623001099,0.0016569662238188829,0.0009607699063704025,PII,False
14,20,70.10889077186584,0.0021264947930243507,0.000740527527720386,PII,False
15,20,68.684987783432,0.0011568802100785749,0.0011081575696504334,PII,False
16,20,73.85328936576843,0.0023810153804921003,0.0015037460762284127,PII,False
17,20,111.37813711166382,0.0003348220783463774,0.0008230600654523389,PII,False
18,20,101.02372527122498,0.001244694301297694,0.0005893773045397843,PII,False
19,20,80.22174859046936,0.0015436133661454192,0.0016115958811435196,PII,False
20,30,116.29875016212463,0.002009754843798951,0.000866818447990525,PII,False
21,30,104.13235521316528,0.0030585546136729044,0.0008258831670194811,PII,False
22,30,109.1122727394104,0.001381984907713565,0.0007124386549134387,PII,False
23,30,84.67917537689209,6.0528257369895294e-05,0.0010721409333972476,PII,False
24,30,102.24002695083618,0.00019420917456344756,0.0008273163450153165,PII,False
25,30,96.6366355419159,0.0010212598672396764,0.0008588055202665146,PII,False
26,30,112.95355224609375,0.0003874780770855935,0.0008409086848644165,PII,False
27,30,86.86362314224243,0.0006751327999558098,0.0005132467321387335,PII,False
28,30,130.7140281200409,0.0014511555691539388,0.0006218934274305754,PII,False
29,30,103.64279460906982,0.0016684711950076905,0.000881426571771482,PII,False
30,40,112.79799604415894,0.0021291452246502865,0.0009237195536260512,PII,False
31,40,102.98417663574219,0.0021150666564841943,0.0004975284639450461,PII,False
32,40,84.23496174812317,0.0022655606673257548,0.001062068965048013,PII,False
33,40,103.40085983276367,0.0024664807623485238,0.0009561279769361164,PII,False
34,40,93.06818222999573,0.0011693674084738734,0.0005420785577858744,PII,False
35,40,90.27317380905151,0.0012542893120259648,0.0005084928057068894,PII,False
36,40,90.42112684249878,0.0006856032896791662,0.0004539723403833851,PII,False
37,40,142.19529747962952,0.0004921410016837237,0.0005824440744906581,PII,False
38,40,110.06052446365356,0.0021701845319107536,0.001093745152673482,PII,False
39,40,72.30378985404968,0.0018541813837808843,0.0008644637096936816,PII,False
40,50,117.39509582519531,0.0010432844465544113,0.0008712674961027789,PII,False
41,50,151.63144183158875,0.001888644410361692,0.0007385278030571929,PII,False
42,50,100.20070791244507,0.001187233343308315,0.0005894195040796746,PII,False
43,50,99.60794734954834,0.0004888647413896825,0.0006597860971383485,PII,False
44,50,91.27190399169922,0.0005231626259346664,0.0009227945799558102,PII,False
45,50,116.2654287815094,0.0004890446939337353,0.0002814475320764842,PII,False
46,50,113.44873571395874,0.00030401470898529047,0.0005918848633128944,PII,False
47,50,108.92364835739136,0.0020710327969596753,0.0009486074060504547,PII,False
48,50,88.34985113143921,0.002245770073227102,0.0008249712875932902,PII,False
49,50,117.14233589172363,0.0008659616909986817,0.0008279256119738676,PII,False
50,60,121.8414876461029,0.0010880021192688574,0.0006820749273050986,PII,False
51,60,96.29986143112183,0.0017280206691951845,0.0008351060202611855,PII,False
52,60,131.92220997810364,0.0002943427745563292,0.0005127129280231568,PII,False
53,60,82.9250009059906,0.0006184386945082603,0.0008005594175291009,PII,False
54,60,90.63699841499329,0.0013088196109866778,0.0006898656275851067,PII,False
55,60,115.24822759628296,0.0007599255274577804,0.0007907874959874902,PII,False
56,60,119.77129697799683,0.0008586672897352241,0.0006683708608157535,PII,False
57,60,126.89500164985657,0.002493239374743774,0.0009280845817936367,PII,False
58,60,111.09421825408936,0.0005530658683866205,0.0009233568289208627,PII,False
59,60,95.03600072860718,0.0008617924970891021,0.0009900703346145123,PII,False
60,70,119.35225653648376,0.0006206311496004756,0.0006579020709569505,PII,False
61,70,120.08282089233398,0.0018234071593708717,0.0009336956264431612,PII,False
62,70,94.25632500648499,0.0005289301621650325,0.0007436165979268772,PII,False
63,70,99.86629486083984,0.0003454233371192046,0.0008170837132368547,PII,False
64,70,111.90700268745422,0.000700533342508204,0.0009870818504395598,PII,False
65,70,87.98397922515869,0.00022367639968087373,0.000495326709085947,PII,False
66,70,102.94534397125244,0.00020963938557019254,0.0007210240104709165,PII,False
67,70,89.09532189369202,0.000309407747546199,0.0004848171990057548,PII,False
68,70,104.14425206184387,0.0005020363709532681,0.0003997445521251308,PII,False
69,70,80.07744693756104,0.0012998568665568207,0.0009920219452244083,PII,False
70,80,87.28300094604492,0.0003318457224846938,0.0005492936323339137,PII,False
71,80,156.36900162696838,0.0011776901429770524,0.0005383848130193769,PII,False
72,80,115.84599804878235,0.00040112626956197964,0.0009743537289157445,PII,False
73,80,164.08200120925903,0.0013597838479447232,0.0009619426698971312,PII,False
74,80,87.50800085067749,0.000978755946129158,0.0010670456813457463,PII,False
75,80,73.35299897193909,0.0009082626032882593,0.0006888944661203669,PII,False
76,80,133.39100122451782,0.00016420462554248282,0.0009605936199119647,PII,False
77,80,91.49799919128418,0.002495978888317338,0.0013213958421253013,PII,False
78,80,102.85599827766418,0.001174730794088028,0.0005318067125933412,PII,False
79,80,110.00100183486938,0.0004121373313070728,0.0006402849934669108,PII,False
80,90,172.52799701690674,0.0012602237842103388,0.0005215110631952677,PII,False
81,90,109.68499970436096,9.267687009212551e-05,0.0011177822542578764,PII,False
82,90,112.98472118377686,0.0006272559815411725,0.0004557095683620574,PII,False
83,90,169.86181330680847,0.0008849830527744945,0.0005647427630716146,PII,False
84,90,95.72037529945374,0.000934152043095036,0.0008027616394368497,PII,False
85,90,173.91148972511292,0.0014523367022651946,0.0008021669301787604,PII,False
86,90,195.10161590576172,0.0011486326681001125,0.0006152186711730068,PII,False
87,90,123.10665559768677,0.0007351735445258618,0.0007716961971677982,PII,False
88,90,112.55012154579163,0.0006902842402758425,0.0007119032239161216,PII,False
89,90,128.45200395584106,0.0016865530854064158,0.0008385695844373986,PII,False
90,100,126.5279471874237,0.0008469542474156826,0.00039714562590298375,PII,False
91,100,162.8101556301117,0.0017101807421189869,0.0006384689546879985,PII,False
92,100,129.41823768615723,0.0006886716087367454,0.0006492939904331196,PII,False
93,100,124.74867630004883,0.0012686883776465447,0.0007056772081601714,PII,False
94,100,142.2129201889038,0.0016124075341882333,0.0006903650944867223,PII,False
95,100,183.9242787361145,0.0009722243268969257,0.00042835098905513735,PII,False
96,100,116.7359504699707,0.0020014640920283855,0.0009090173221438081,PII,False
97,100,178.9113175868988,0.00021934803475560957,0.0004588325432202736,PII,False
98,100,115.49121332168579,0.0009804482358422059,0.0005176942783685634,PII,False
99,100,140.77960801124573,0.0017739161163175482,0.0005998477963547189,PII,False
100,200,122.34607291221619,0.0006670065432033325,0.000831495281460537,PII,False
101,200,174.29913306236267,0.001284483901689556,0.0009226283022929493,PII,False
102,200,222.95285964012146,0.00022220250309777696,0.0006587259448913585,PII,False
103,200,217.41290044784546,0.0006222980144996019,0.0006126517624283345,PII,False
104,200,164.98158240318298,0.0014660096317071652,0.0006491750878514502,PII,False
105,200,223.1082410812378,0.0009882509816038912,0.000853730116460838,PII,False
106,200,154.90598249435425,0.0003634555994481667,0.0006553170691862009,PII,False
107,200,111.41867065429688,0.0007029371362718762,0.0009866164975602665,PII,False
108,200,187.28036737442017,0.0003478009655814444,0.0004213853846797566,PII,False
109,200,187.08193016052246,0.0022273632497051108,0.0006966759541957579,PII,False
110,300,204.62084436416626,0.0007239136873567474,0.0012142200910590442,PII,False
111,300,193.23972344398499,0.001347701930628154,0.0018722642275142976,PII,False
112,300,293.53917694091797,0.0008809311645069817,0.0007958047726212003,PII,False
113,300,187.02142763137817,0.0007351091861387375,0.0010085729777593866,PII,False
114,300,187.97956538200378,0.0004941421463110045,0.0006785799192582445,PII,False
115,300,199.52175974845886,0.0006465637069696634,0.0013982669999202113,PII,False
116,300,230.91060280799866,0.00023638622278188568,0.0009347516648016141,PII,False
117,300,237.78187251091003,0.0010203037338668518,0.0013191749174882306,PII,False
118,300,165.09122109413147,0.0003478721681005023,0.0008464018190115219,PII,False
119,300,199.22732210159302,0.000539339018648018,0.0011400229797855765,PII,False
