,grid_res,time,RMSE,loss,type
0,10,38.41655254364014,0.006265346621992505,0.0020990005446595295,PI
1,10,33.089964151382446,0.0013097487227143486,0.0015010492868496612,PI
2,10,48.5390362739563,0.001469866508701069,0.0013510517514464526,PI
3,10,40.35399556159973,0.0008013040064931031,0.001059162718646367,PI
4,10,41.27249836921692,0.0006600393771526234,0.0006811747674831115,PI
5,10,41.93403458595276,0.0007553279554002741,0.0016870453857096568,PI
6,10,41.30614376068115,0.001283347926722915,0.0009197098085155855,PI
7,10,39.964998960494995,0.0017034699706644288,0.0011487016909268455,PI
8,10,49.23599934577942,0.0010626334786656272,0.002042586442165817,PI
9,10,45.91499853134155,0.0008576634592001161,0.0010356572931939922,PI
10,20,44.53700017929077,0.0006595925777262334,0.0012084479925600928,PI
11,20,65.2010018825531,0.0013619645095217013,0.0009872769426221284,PI
12,20,65.36054682731628,0.0005342914122219857,0.0008367987004939126,PI
13,20,48.82300114631653,0.0022059363835531783,0.00184173037817148,PI
14,20,56.499001026153564,0.00315564328303697,0.0019908097491470045,PI
15,20,48.99700212478638,0.0007936008544372065,0.0015687709870518818,PI
16,20,58.781002044677734,0.0023801495193148873,0.002827509326737143,PI
17,20,67.24800109863281,0.000684560777745281,0.0015608597026997018,PI
18,20,49.195000886917114,0.0012694152211837012,0.0008751770939188219,PI
19,20,45.79100036621094,0.0007766434059628658,0.0007332160290359768,PI
20,30,53.791024684906006,0.0031165269449404624,0.001754044454848086,PI
21,30,52.27799940109253,0.0015952617096345336,0.0008293360559675778,PI
22,30,84.59200048446655,0.00011494080168360499,0.0006901803537044948,PI
23,30,58.32300090789795,0.0004809242808029606,0.0013263605808833002,PI
24,30,53.04700255393982,0.001887600271817728,0.0014155055741163231,PI
25,30,86.52199959754944,0.0005514303205590489,0.0006753518180251383,PI
26,30,53.29000186920166,0.001216061300941402,0.0014043284191761,PI
27,30,63.89400005340576,0.0007393204098416634,0.0008085005510918286,PI
28,30,53.70700025558472,0.00024279441332074927,0.0008530145843589354,PI
29,30,63.37900137901306,0.00012856212489220894,0.0011689426391737756,PI
30,40,49.431999921798706,0.0019453570133789312,0.0011094909261701192,PI
31,40,52.98200035095215,0.0013650949797389918,0.0008529219501554053,PI
32,40,111.55000019073486,0.0008013428134051669,0.0011113523607098053,PI
33,40,68.05099987983704,0.0017004137654035786,0.0012262778047858192,PI
34,40,77.96900153160095,0.0006770384010011008,0.0010409517577483277,PI
35,40,84.85900044441223,0.0006847572832980693,0.0010558744906640216,PI
36,40,64.74600005149841,0.0015183797487254406,0.001085048902584984,PI
37,40,45.37000107765198,0.002957921891222169,0.001324102750732803,PI
38,40,46.14200043678284,0.0005493759118612359,0.0010406336694163132,PI
39,40,63.072001934051514,0.0010255919791334449,0.0010836952527731036,PI
40,50,60.236998558044434,0.0004233685292904379,0.0007483084659960573,PI
41,50,68.16300082206726,0.0010924990042839287,0.0008771765925357222,PI
42,50,58.84900116920471,0.0010242353528835755,0.0015718198965548602,PI
43,50,53.5770001411438,0.001828651137457887,0.0009355185068265215,PI
44,50,79.7669997215271,0.0007564584798569147,0.0007807064010859621,PI
