,grid_res,time,RMSE,type
49,50,17.33393883705139,"tensor(0.0563, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
50,60,56.36684012413025,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
51,60,56.265023946762085,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
52,60,55.37414002418518,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
53,60,55.321009159088135,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
54,60,54.36640119552612,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
55,60,55.82867407798767,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
56,60,53.63726234436035,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
57,60,53.478888273239136,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
58,60,53.53425192832947,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
59,60,54.28496789932251,"tensor(0.0554, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
60,70,69.33497953414917,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
61,70,70.21070384979248,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
62,70,69.54764199256897,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
63,70,71.09788870811462,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
64,70,70.87446403503418,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
65,70,69.31566095352173,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
66,70,70.4650707244873,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
67,70,67.40635228157043,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
68,70,65.33399963378906,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
69,70,64.90600061416626,"tensor(0.0548, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
70,80,83.07799959182739,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
71,80,82.50299978256226,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
72,80,82.77100014686584,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
73,80,82.29900026321411,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
74,80,82.76499915122986,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
75,80,83.25100326538086,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
76,80,81.77299976348877,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
77,80,82.1949999332428,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
78,80,82.43900060653687,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
79,80,82.37500047683716,"tensor(0.0542, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
80,90,101.78199911117554,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
81,90,103.01099991798401,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
82,90,103.28099942207336,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
83,90,102.7240002155304,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
84,90,102.60230302810669,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
85,90,103.50699973106384,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
86,90,103.1029999256134,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
87,90,104.75351071357727,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
88,90,103.65800023078918,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
89,90,103.4590003490448,"tensor(0.0550, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
90,100,124.82999920845032,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
91,100,124.93400025367737,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
92,100,128.7553849220276,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
93,100,133.86797189712524,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
94,100,133.3188784122467,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
95,100,131.7537705898285,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
96,100,134.10365986824036,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
97,100,132.06812071800232,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
98,100,133.06740045547485,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
99,100,135.2582654953003,"tensor(0.0539, dtype=torch.float64, grad_fn=<SqrtBackward>)",wave_eqn
