,grid_res,error_train,error_test,loss,lu_f_adam,time_adam,type
0,10,0.043138040764515974,0.1339725334774781,1.4193859897204675e-05,1.2689375772367839e-08,288.0459794998169,burgers1d_fourier
1,20,0.01619146170658445,0.07858749167917907,2.5539211492286995e-05,2.3486603772937542e-09,412.35599851608276,burgers1d_fourier
2,30,0.008261838642250724,0.05972357952330866,4.986293788533658e-05,7.061900397786758e-09,551.7639999389648,burgers1d_fourier
3,40,0.17041896216622865,0.27255597025221845,7.037115574348718e-05,2.832874770319904e-07,2178.739999771118,burgers1d_fourier
4,50,0.013981650459458816,0.043473752921725055,0.00013257801765576005,9.87227437576621e-08,478.6950001716614,burgers1d_fourier
5,60,0.02670714200917877,0.040337412369094515,7.511656440328807e-05,4.489543670160856e-08,772.9310007095337,burgers1d_fourier
6,70,0.07451457183955162,0.03536911771364256,0.00015984984929673374,1.8316038108423527e-07,567.0710005760193,burgers1d_fourier
7,80,0.01891578778643358,0.036968249226498405,0.00011804388486780226,7.148130976020184e-08,694.7589998245239,burgers1d_fourier
8,90,0.10818193781459967,0.16745544437379,0.0003511742688715458,2.3258377268575714e-07,572.9370007514954,burgers1d_fourier
9,100,0.015318088394166056,0.03222288038258782,0.00018483363965060562,2.0824612079195504e-07,582.6170012950897,burgers1d_fourier
