,grid_res,l2_error_train_adam,l2_error_test_adam,c2_error_train_adam,c2_error_test_adam,l2_error_train_PSO,l2_error_test_PSO,c2_error_train_PSO,c2_error_test_PSO,loss,lu_f,lu,run_time,type
0,2,0.0017679295,171.45665,12.5701685,171.45665,0.00026691385,7.0354533,12.569439,171.45695,[4.6535927e-08],9.86150627824145e-09,1.5372634720733913e-08,85.07467889785767,poisson1d_PSO
1,5,1.204995,184.48499,14.365636,184.48499,1.205221,6.282591,14.372579,184.48465,[1.7185308e-05],2.002765359065961e-05,12468.025390625,112.0206458568573,poisson1d_PSO
2,8,0.3164807,68.28427,3.981429,68.28427,0.31678373,1.1741275,3.9962473,68.28895,[0.00012259],0.00011364444071659818,12469.3564453125,126.34603476524353,poisson1d_PSO
3,10,0.021583105,19.118895,0.70006907,19.118895,0.021610556,0.09879389,0.7133358,19.118029,[7.8246536e-05],6.297043728409335e-05,12468.771484375,119.95060706138611,poisson1d_PSO
4,40,0.00046379954,0.1858956,0.05326298,0.1858956,0.0018999834,0.0029694876,0.053477407,0.20542598,[0.0002984],0.0003011432709172368,12469.208984375,760.7486581802368,poisson1d_PSO
5,70,0.000543086,0.101619035,0.08086081,0.101619035,0.000952082,0.0011291371,0.07064676,0.07875365,[0.00038724],0.0003671818703878671,12468.8056640625,645.9466693401337,poisson1d_PSO
6,100,0.00069221534,0.07348308,0.07360323,0.07348308,0.002240215,0.0022287176,0.080287084,0.080207124,[0.00029842],0.0002925681765191257,12467.4716796875,838.818701505661,poisson1d_PSO
7,400,0.00042873164,0.077002525,0.07701132,0.077002525,0.002791761,0.0013957461,0.06595215,0.06595215,[0.00014573],0.00013895053416490555,12468.408203125,1239.4579470157623,poisson1d_PSO
8,700,0.0005522864,0.04693247,0.046934593,0.04693247,0.0071117724,0.0026790055,0.04520434,0.044917583,[0.00012743],0.00012640695786103606,12468.931640625,1768.0061824321747,poisson1d_PSO
