,grid_res,l2_error_train,l2_error_test,c2_error_train,c2_error_test,loss,lu_f,lu,run_time,type
0,2,0.00046657,171.46817,12.56883,171.46817,[2.0291826e-17],8.799051047971578e-18,1.143149019888767e-09,2985.640813112259,poisson1d_PINN_KAN
1,5,0.61129844,137.64957,8.872915,137.64957,[1.6107943e-13],9.179783262746112e-14,12468.3671875,5343.203401565552,poisson1d_PINN_KAN
2,8,1.8528247,99.650406,10.324982,99.650406,[3.103451e-11],3.2634183549928863e-11,12468.36328125,5034.903661489487,poisson1d_PINN_KAN
3,10,1.9517657,152.49307,8.939002,152.49307,[8.211421e-11],7.767615023412944e-11,12468.3671875,4564.667342185974,poisson1d_PINN_KAN
4,40,0.10015343,2.151515,0.12197852,2.151515,[5.5337224e-11],4.553327853651368e-11,12468.36328125,5011.356077671051,poisson1d_PINN_KAN
5,70,0.00689613,1.2342054,0.08023727,1.2342054,[1.4755774e-07],1.495271675366894e-07,12468.361328125,8986.069262504578,poisson1d_PINN_KAN
6,100,0.01362962,0.6007345,0.02400106,0.6007345,[2.7817662e-06],2.809524630720261e-06,12468.3662109375,14523.423662424088,poisson1d_PINN_KAN
7,400,0.00044889,0.15122834,0.2643621,0.15122834,[0.0017967],0.0018009974155575,12468.3603515625,20631.60166811943,poisson1d_PINN_KAN
8,700,0.0008438,0.15134124,0.26826242,0.15134124,[0.00204744],0.0020503674168139,12468.365234375,24760.131816625595,poisson1d_PINN_KAN
9,1000,0.00057063,0.12967123,0.20814267,0.12967123,[0.00170327],0.0017049248563125,12468.365234375,16955.47481417656,poisson1d_PINN_KAN
10,4000,0.00200396,0.1149718,0.20075887,0.1149718,[0.00125334],0.0012536386493593,12468.35546875,20633.185848474503,poisson1d_PINN_KAN
11,7000,0.03972342,0.21278922,0.28321835,0.21278922,[0.00179701],0.0017972503555938,12468.341796875,93035.25968813896,poisson1d_PINN_KAN
12,10000,0.00105605,0.13522473,0.1843831,0.13522473,[0.00108507],0.0010851017432287,12468.3505859375,63758.3762845993,poisson1d_PINN_KAN
