,grid_res,error_train,error_test,loss,lu_f_adam,time_adam,type
0,10,0.2862849481422554,0.37019840883543365,0.08927162736654282,0.00018750967865344137,21.503000259399414,burgers1d_lam
1,20,0.180136271493593,0.22483929595137436,0.10858090221881866,0.010912193916738033,139.66900038719177,burgers1d_lam
2,30,0.1663952182191695,0.19611372439092212,0.12142657488584518,0.025134138762950897,562.5369997024536,burgers1d_lam
3,40,0.04825994761543706,0.07309370963595228,0.021288171410560608,0.0006788555183447897,1599.816000699997,burgers1d_lam
4,50,0.06227807699317242,0.09015763050345665,0.031084004789590836,0.001539579126983881,3668.866000175476,burgers1d_lam
5,60,0.06786518975939217,0.0641945037588541,0.03411922603845596,0.001715663238428533,7303.180999517441,burgers1d_lam
6,70,0.08932437977087762,0.06460171239063103,0.02105710282921791,0.0009507908835075796,12807.727999210358,burgers1d_lam
7,80,0.049250803592316955,0.052869976877248384,0.025056425482034683,0.001971897669136524,21445.26499938965,burgers1d_lam
8,90,0.12879194699266305,0.1878079983760026,0.03161387890577316,0.0034475105348974466,33942.68724799156,burgers1d_lam
9,100,0.041382227149463706,0.05946444405103343,0.030235299840569496,0.005953666288405657,52289.40734434128,burgers1d_lam
