,grid_res,error_train_u_adam,error_train_v_adam,error_test_u_adam,error_test_v_adam,error_train_u_pso,error_train_v_pso,error_test_u_pso,error_test_v_pso,loss_adam,loss_pso,time_adam,time_pso,type
1,10,1.3033058919545928,1.0125112265246448,1.3033058919545928,1.0125112265246448,1.3032275167507446,1.00968007407107,1.3032275167507446,1.00968007407107,0.0026024433318525553,6.107120952947298e-06,651.299024105072,2714.3109080791473,LV_PSO
2,20,1.178120714199431,1.3080657115430845,1.178120714199431,1.3080657115430845,1.1780025152031353,1.3080659630694778,1.1780025152031353,1.3080659630694778,0.011651232838630676,2.8583694074768573e-05,300.1912636756897,2313.3582422733307,LV_PSO
3,30,1.2061296144725289,1.2626084586820736,1.2061296144725289,1.2626084586820736,1.2061567256805077,1.2628918989364109,1.2061567256805077,1.2628918989364109,0.00015232519945129752,4.864034508500481e-06,874.9307572841644,2745.8279905319214,LV_PSO
4,40,1.216763986306544,1.368825028726286,1.216763986306544,1.368825028726286,1.215736272010413,1.3675761077084405,1.215736272010413,1.3675761077084405,0.001689242315478623,1.6581645468249917e-05,376.25265645980835,2766.815986633301,LV_PSO
5,50,1.22370879395931,1.3755607527310056,1.22370879395931,1.3755607527310056,1.2236202053123573,1.3756691763928557,1.2236202053123573,1.3756691763928557,0.003555735107511282,4.4096788769820705e-05,839.2999765872955,2803.2623584270477,LV_PSO
6,60,1.392400492377881,1.4105579513144242,1.392400492377881,1.4105579513144242,1.37897388758875,1.3991915082219852,1.37897388758875,1.3991915082219852,0.015202210284769535,0.008629009127616882,2802.7978830337524,2829.692458152771,LV_PSO
