,Unnamed: 0,grid_res,error_train,error_test,loss_pso,lu_f_pso,time_pso,type
0,0,10,0.0109440007845159,0.121138497173563,1.174729959529941e-06,7.717622547975811e-12,12957.468231201172,burgers1d_PSO
1,1,20,0.0175756790143354,0.076870258227054,1.252830134035321e-05,5.517993284520627e-10,13500.96326136589,burgers1d_PSO
2,2,30,0.0171839567431325,0.0589144809885721,1.9819970475509763e-05,1.3871188642156083e-09,13778.992000579834,burgers1d_PSO
3,3,40,0.0110544892809699,0.0485688089142248,1.981149398488924e-05,2.3615462918513686e-09,13705.624000310898,burgers1d_PSO
4,4,50,0.0201198569307119,0.0381436436596834,0.0002639794838614,1.5044935253172298e-07,13656.954000234604,burgers1d_PSO
5,5,60,0.029026130036231,0.0398811294096142,0.0001304208417423,4.617041327037441e-08,13630.939000368118,burgers1d_PSO
6,6,70,0.0756270330529119,0.0367875726655606,7.069455023156479e-05,2.2371342112137427e-08,13704.207999944689,burgers1d_PSO
7,7,80,0.0261601997646852,0.0358254443232949,0.0003302998666185,3.253618956478022e-07,13640.302999973295,burgers1d_PSO
8,8,90,0.0310236148477683,0.041087794752964,0.0002698433236218,3.352367343723017e-07,13638.965999603271,burgers1d_PSO
9,9,100,0.0164164219877244,0.0326272035764242,6.953957927180454e-05,5.022687332711939e-08,13579.46699976921,burgers1d_PSO
