,grid_res,l2_loss,lu_f,lu,l2_norm,c2_norm,type
0,2,[1.00424315e-10],1.3165957907235182e-11,1.3286042266358322e-09,3.6227382e-05,12.566611,Poisson
1,5,[2.072943e-05],2.4827302695484832e-05,12467.609375,1.2409909,13.401285,Poisson
2,8,[2.394161e-06],2.0983484319003765e-06,12468.5537109375,1.5277817,13.492634,Poisson
3,10,[1.33553085e-05],1.3673855391971301e-05,12468.328125,4.659726,15.058695,Poisson
4,40,[2.960028e-05],3.0262066502473317e-05,12468.4462890625,3.2134674,8.175997,Poisson
5,70,[4.2306016e-05],4.269231794751249e-05,12468.513671875,0.0003066685,0.01812461,Poisson
6,100,[0.00030802],0.00029863728559575975,12468.9755859375,0.00049766246,0.05600083,Poisson
7,400,[6.740791e-05],6.590512930415571e-05,12468.478515625,0.00027889776,0.03677118,Poisson
8,700,[4.4306926e-05],4.273251033737324e-05,12468.4833984375,0.00067293836,0.04689393,Poisson
9,1000,[3.4325658e-05],3.3655418519629166e-05,12468.404296875,0.0011297951,0.03034919,Poisson
10,4000,[2.6335927e-05],2.6307425287086517e-05,12468.3623046875,0.0013730369,0.015408069,Poisson
11,7000,[4.8170794e-05],4.790915409103036e-05,12468.4560546875,0.0036927236,0.061283898,Poisson
12,10000,[3.53542e-05],3.519990059430711e-05,12468.4228515625,0.0019240727,0.04318884,Poisson
