,grid_res,error_adam_train,error_adam_test,error_LBFGS_train,error_LBFGS_test,error_NNCG_train,error_NNCG_test,loss_adam,loss_LBFGS,loss_NNCG,lu_f_adam,lu_f_LBFGS,lu_f_NNCG,time_adam,time_LBFGS,time_NNCG,type
0,10,0.02197395095443402,0.13363489412960983,0.021103833523600977,0.1339361420166403,0.02017002682291105,0.13216956076931932,0.00010121503146365285,5.269645498628961e-06,8.798675708021619e-07,6.668008154520066e-07,2.0338690454035913e-10,3.928720630069771e-12,98.78531098365784,4.459251403808594,651.7854309082031,burgers1d_adam_lbfgs_nncg
1,20,0.018172391748823433,0.09236649950577355,0.01311136369119989,0.09602279888244553,0.014166506949858524,0.09854049432010453,3.8090289308456704e-05,6.797105015721172e-06,2.565682279964676e-06,1.3561253453531208e-08,3.5575489776284996e-10,4.936809641642448e-11,233.1733100414276,12.12680196762085,969.9729239940643,burgers1d_adam_lbfgs_nncg
2,30,0.014519077708389831,0.07339839850849571,0.004187045787124391,0.05945433245793063,0.0037142533768500024,0.05897207817474748,8.917294326238334e-05,5.917876933381194e-06,3.1568897611577995e-06,2.760960171599436e-08,2.6040708478447527e-10,1.1799192178862938e-10,201.48609566688538,29.165262460708618,1375.801159620285,burgers1d_adam_lbfgs_nncg
3,40,0.029129120010210834,0.05618998397768119,0.014700161284362263,0.05378688693727975,0.013982821810007637,0.05315444545504186,0.000533620361238718,8.442784746875986e-06,3.989851393271238e-06,7.800007892910799e-07,1.1766020380221676e-09,3.062997633307418e-10,244.08819317817688,76.51684331893921,3235.366807460785,burgers1d_adam_lbfgs_nncg
4,50,0.030524211553127865,0.047471147202465674,0.005420501234296963,0.03758296120023195,0.004947123315787381,0.037305900495923354,0.0005812544259242713,1.4287243175203912e-05,6.857787411718164e-06,6.134008003755298e-07,1.6414322123736724e-09,3.926798608500093e-10,1009.07599568367,287.3537266254425,5827.659317970276,burgers1d_adam_lbfgs_nncg
5,60,0.03229229379423882,0.04393753071881948,0.0249717430577432,0.04025836670020843,0.024807985887124632,0.04041531989944937,0.0003135636216029525,1.0743652637756895e-05,5.4560268836212344e-06,5.397049562816392e-07,3.2525218074397344e-09,6.306182798176962e-10,907.2080414295197,232.66716766357422,5850.084233522415,burgers1d_adam_lbfgs_nncg
6,70,0.10985903360223723,0.07495361626356165,0.11037067703496892,0.07449325562603828,0.11040371018320455,0.0745616854282227,0.00029891624581068754,7.039583124424098e-06,4.215253284201026e-06,6.5701779021765105e-06,1.0399748839873268e-09,4.860281621610341e-10,1906.8299980163574,153.73676109313965,5535.213913440704,burgers1d_adam_lbfgs_nncg
7,80,0.02565773915376887,0.04104590024698729,0.016202331217913236,0.03373666696241863,0.01578816330743714,0.03365315701031826,0.0003099504974670708,1.566101491334848e-05,9.284547559218481e-06,6.640793799306266e-07,3.4020022354752655e-09,1.1809652145089444e-09,687.3064155578613,175.23698925971985,5047.34649181366,burgers1d_adam_lbfgs_nncg
8,90,0.10050897193332789,0.1638149071391919,0.09595428918985245,0.1649233065025346,0.09627672455752669,0.16530661290548193,0.0007533399621024728,2.340846913284622e-05,1.2548352970043197e-05,1.8462118305251352e-06,6.802164609354122e-09,2.2571011726313372e-09,860.9060308933258,336.2045750617981,9209.636536121368,burgers1d_adam_lbfgs_nncg
9,100,0.03055081690145433,0.04341574520504623,0.007786956211144747,0.028360395009209918,0.006080579703406569,0.02764262225592549,0.0005633432883769274,3.863140591420233e-05,2.0920018869219348e-05,2.16821945286938e-06,1.3074415328162559e-08,4.732573888333036e-09,2273.592031478882,611.955855846405,22398.45811843872,burgers1d_adam_lbfgs_nncg
