,grid_res,l2_error_train,l2_error_test,c2_error_train,c2_error_test,loss,lu_f,lu,run_time,type
0,2,3.676421e-05,7.035621,12.566548,171.46075,[8.184036e-11],5.785481902581546e-12,1.2729561849056381e-09,109.50018429756165,poisson1d_PINN
1,5,1.862927,8.890675,13.746421,164.68007,[2.2427199e-05],1.3612135262519587e-05,12468.337890625,547.1931519508362,poisson1d_PINN
2,8,2.3040829,8.347152,13.603121,337.06253,[4.6346137e-05],5.175628757569939e-05,12468.044921875,259.63691329956055,poisson1d_PINN
3,10,2.0848641,6.6784415,14.016449,247.60178,[2.3440554e-05],2.472683263476938e-05,12468.4208984375,237.29487705230713,poisson1d_PINN
4,40,0.0016961083,0.002655209,0.25026774,3.6051283,[0.00530175],0.005412061233073473,12472.71484375,2153.608936548233,poisson1d_PINN
5,70,0.00021119897,0.00024945723,0.014024049,0.019569278,[3.3657023e-05],3.334326174808666e-05,12468.4306640625,4062.891002893448,poisson1d_PINN
6,100,0.0003097972,0.00030813878,0.023039185,0.023238532,[5.406767e-05],5.446673822007142e-05,12468.36328125,5957.241796731949,poisson1d_PINN
7,400,0.00077121746,0.00038689256,0.026484458,0.025989912,[6.211961e-05],6.078960723243654e-05,12468.2734375,2467.2620306015015,poisson1d_PINN
8,700,0.0003402966,0.00012985832,0.014560245,0.014325753,[3.6998663e-05],3.697666397783905e-05,12468.248046875,2249.3660895824432,poisson1d_PINN
9,1000,0.0012639478,0.00040419996,0.037846863,0.037842147,[3.56188e-05],3.492597898002714e-05,12468.283203125,4731.0564596652985,poisson1d_PINN
10,4000,0.034024727,0.0053679626,0.55159354,0.5205563,[0.01358203],0.01355044823139906,12470.146484375,1623.700336933136,poisson1d_PINN
11,7000,0.0012430893,0.00015064125,0.018325672,0.01828499,[3.2619508e-05],3.2597432436887175e-05,12468.3115234375,2688.16343665123,poisson1d_PINN
12,10000,0.06346307,0.0063605923,0.25768426,0.25449377,[0.01520311],0.015200776979327202,12465.9658203125,980.0046837329865,poisson1d_PINN
