,grid_res,l2_error_train,l2_error_test,c2_error_train,c2_error_test,loss,lu_f,lu,run_time,type
0,2,0.0057731993,7.0341787,,,[2.111879e-11],,,103.00499963760376,poisson1d_fourier
1,5,1.846959,9.297648,,,[4.6843363e-07],,,167.8069999217987,poisson1d_fourier
2,8,2.8360803,10.293752,,,[3.53122e-06],,,218.23900079727173,poisson1d_fourier
3,10,4.1311283,13.217128,,,[0.0043874],,,242.62099862098694,poisson1d_fourier
4,40,0.119561665,0.18856753,,,[6.8070854e-05],,,1895.376986026764,poisson1d_fourier
5,70,0.0010785867,0.0012745089,,,[8.739869e-05],,,2039.7549993991852,poisson1d_fourier
6,100,0.00018911048,0.00018836296,,,[6.730361e-05],,,2034.2079997062683,poisson1d_fourier
7,400,0.0030473983,0.0015328261,,,[8.1525184e-05],,,2086.4169697761536,poisson1d_fourier
8,700,0.001834308,0.00069435034,,,[0.00011643],,,2127.952999830246,poisson1d_fourier
9,1000,0.002055633,0.0006510115,,,[7.905097e-05],,,1933.9829750061035,poisson1d_fourier
10,4000,225.1055,35.93274,,,[38.478985],,,1869.4709696769714,poisson1d_fourier
11,7000,0.01038158,0.0012493066,,,[0.0001218],,,2060.0810000896454,poisson1d_fourier
12,10000,0.014771967,0.0014903322,,,[0.00018057],,,2114.9540009498596,poisson1d_fourier
