,grid_res,error_adam_train,error_adam_test,error_PSO_train,error_PSO_test,loss_adam,loss_pso,lu_f_adam,lu_f_pso,time_adam,time_pso,type
0,10,0.005460090935230255,0.006848186254501343,0.004983566701412201,0.006681589409708977,0.0007181760738603771,0.0006896510603837669,6.54004850275669e-09,2.546542421377751e-10,504.39868235588074,1885.5437214374542,kdv_PSO
1,20,0.0033472529612481594,0.0030401081312447786,0.003239486599341035,0.0028744679875671864,0.0003789348993450403,0.0003663544775918126,6.217934500618583e-10,6.204359248584979e-11,1467.4875936508179,1512.0811512470245,kdv_PSO
2,30,0.0023752565030008554,0.0020603372249752283,0.002358504803851247,0.0019320587161928415,0.0003269013832323253,0.00027202977798879147,1.0929939620041296e-08,8.171478604879212e-09,1453.3001956939697,5408.150515317917,kdv_PSO
3,40,0.0025783826131373644,0.002406080486252904,0.002078418852761388,0.001831376925110817,0.0003280560194980353,0.0002469891624059528,2.062308368522281e-08,1.3281012734012165e-08,1644.0657413005829,6090.37303686142,kdv_PSO
4,50,0.002115711336955428,0.001969019416719675,0.0019987185951322317,0.0018239521887153387,0.0002652978291735053,0.0002054067444987595,1.4676664328305833e-09,2.1595201182833534e-09,3165.6360609531403,9320.426237344742,kdv_PSO
5,60,0.0026740203611552715,0.0026071371976286173,0.002173413522541523,0.002077764132991433,0.00031770713394507766,0.00022349308710545301,3.2957139239897515e-08,3.350994148831887e-08,2289.1226856708527,18135.568204164505,kdv_PSO
6,70,0.0022334076929837465,0.0021839544642716646,0.0018721460364758968,0.0018004124285653234,0.00022632809123024344,0.00016827561194077134,3.9139667507015474e-08,1.406632765821314e-08,9080.911861896515,21481.540464162827,kdv_PSO
7,80,0.0025544678792357445,0.0025296094827353954,0.0019512418657541275,0.0019150988664478064,0.0003099155146628618,0.0002081289712805301,7.546224978227656e-09,6.250581385813803e-09,4006.3925771713257,24315.679374217987,kdv_PSO
8,90,0.0024678867775946856,0.0024574073031544685,0.0024710430298000574,0.0024605807848274708,0.00020130519988015294,0.00020156837126705796,3.635437906268635e-08,3.620744593035852e-08,10832.099872589111,247.8470916748047,kdv_CSO
9,100,0.0023160285782068968,0.002317129634320736,0.0018905634060502052,0.0018921773880720139,0.00026410940336063504,0.0001631969935260713,4.669010067459567e-08,2.0049393256726944e-08,5070.1235871315,23206.289417266846,kdv_CSO
